sales_person,country,product,date,amount,boxes_shipped
sp104,Netherlands,First Aid Beauty Hello FAB Coconut Skin Smoothie Priming Moisturizer 125ml,2023-05-12,2897.49,55
sp35,Canada,The Ordinary Hyaluronic Acid 2% + B5 56.7g,2024-02-02,6212.3,316
sp23,Thailand,Neutrogena Cellular Boost Concentrate Serum 150ml,2021-02-12,7230.63,117
sp151,Chile,COSRX Oil-Free Ultra-Moisturizing Lotion 30g,2024-08-11,9390.61,109
sp55,Argentina,Bioderma Cicabio Arnica+ Repairing Cream 125ml,2023-09-14,5096.13,55
sp87,Canada,First Aid Beauty Eye Duty Triple Remedy AM Gel Cream 50ml,2023-10-19,5026.42,88
sp69,China,Murad Brightening Booster 30g,2022-05-20,779.04,62
sp137,Canada,The Ordinary Natural Moisturising Factors + HA 20ml,2022-11-28,274.96,60
sp14,Spain,COSRX Balancium B5 Biome Comfort Cream 60ml,2021-03-18,6359.82,109
sp46,South Korea,CeraVe Renewing SA Cream 30ml,2020-03-16,620.93,38
sp122,Indonesia,Pixi Hydrating Milky Serum 100ml,2020-06-15,13039.45,118
sp37,Germany,Clinique Dramatically Different Moisturising Lotion+ 75ml,2022-02-19,9041.44,94
sp104,Chile,Pixi +C VIT Brightening Serum 100ml,2023-08-04,2423.62,64
sp140,Netherlands,CeraVe PM Facial Moisturising Lotion 20ml,2021-12-25,11831.29,131
sp34,Philippines,Neutrogena Hydro Boost Water Gel 150ml,2024-05-14,1644.57,48
sp105,Mexico,Paula's Choice DEFENSE Antioxidant Pore Purifier 30g,2020-08-31,14147.99,125
sp105,Argentina,Tatcha The Eye Concentrate 100ml,2024-12-08,30133.02,275
sp66,Mexico,Kiehl's Calendula Serum-Infused Water Cream 200ml,2021-01-15,1223.82,28
sp3,Singapore,CeraVe Healing Ointment 125ml,2021-11-22,1824.98,65
sp87,Netherlands,Olay Super Serum 5-in-1 30ml,2022-04-28,6056.33,104
sp47,Brazil,Clinique Moisture Surge 100H Auto-Replenishing Hydrator 30ml,2024-01-17,6550.27,112
sp59,Germany,Bioderma Pigmentbio C-Concentrate Brightening Serum 30g,2023-08-31,820.27,89
sp177,Italy,COSRX Balancium B5 Biome Comfort Cream 20ml,2024-04-13,5323.29,73
sp113,Canada,Paula's Choice CLINICAL 1% Retinol Treatment 30g,2022-05-12,4267.49,75
sp76,Indonesia,Tatcha The Indigo Overnight Repair Treatment 250ml,2024-06-02,2614.8,132
sp66,Sweden,Olay Total Effects 7-in-1 Moisturiser 125ml,2022-04-18,620.22,50
sp174,Indonesia,First Aid Beauty Pure Skin Face Cleanser 15ml,2024-11-01,2003.34,122
sp87,Chile,Sunday Riley UFO Ultra-Clarifying Face Oil 340g,2020-01-09,5101.02,100
sp50,Indonesia,Olay Luminous Whip Face Moisturiser 56.7g,2024-06-04,3101.9,76
sp191,Philippines,La Roche-Posay Effaclar Mat Moisturiser 60ml,2022-04-16,7362.67,98
sp1,Mexico,Paula's Choice SKIN RECOVERY Replenishing Moisturizer 60ml,2022-12-25,12476.15,140
sp173,Colombia,Pixi Vitamin-C Juice Cleanser 150ml,2024-05-26,10466.72,123
sp68,Sweden,REN Clean Skincare Perfect Canvas Clean Primer 75ml,2023-02-21,3986.0,451
sp196,Thailand,La Roche-Posay Effaclar Mat Moisturiser 50ml,2021-02-14,1829.4,55
sp20,Singapore,Avène Hydrance Rich Rehydrating Cream 20ml,2020-04-29,1598.86,116
sp143,India,Tatcha The Dewy Skin Cream 15ml,2023-03-23,3345.59,231
sp102,Netherlands,Tatcha The Essence Plump Skin Softener 250ml,2021-06-26,14278.62,301
sp115,Philippines,Tatcha The Silk Cream 250ml,2022-05-06,3126.53,55
sp54,France,Pixi Glow Tonic 30ml,2023-03-18,21190.83,193
sp123,Singapore,First Aid Beauty Ultra Repair Cream 75ml,2023-09-23,2749.12,53
sp137,United Kingdom,Drunk Elephant B-Hydra Intensive Hydration Serum 75ml,2022-12-07,1371.68,13
sp127,Canada,REN Clean Skincare Ready Steady Glow Daily AHA Tonic 340g,2023-09-03,353.67,11
sp137,France,Tatcha The Dewy Skin Cream 340g,2023-04-08,8885.31,91
sp43,Argentina,Neutrogena Hydro Boost Water Gel 56.7g,2020-04-07,10389.05,111
